Id,Designator,Footprint,Quantity,Part Number,Package
1,R3,R_0201_0603Metric,1,10K,0201 (0603 Metric)
2,U1,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,1,CP2102N-Axx-xQFN28,QFN-28-EP 5×5 mm
3,"D4,D5,D3",TVS_LESD5D5.0CT1G,3,LESD5D5.0CT1G,SOD-523 / TVS Package
4,"R7,R5,R4,R6",R_0201_0603Metric,4,1K,0201 (0603 Metric)
5,"R2,R1",R_0201_0603Metric,2,5.1K,0201 (0603 Metric)
6,"C4,C3",C_0201_0603Metric,2,1uF C,0201 (0603 Metric)
7,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,HRO TYPE-C-31-M-12
8,"C1,C2",C_0201_0603Metric,2,100nF,0201 (0603 Metric)
9,J2,PinHeader_1x05_P2.54mm_Horizontal,1,Conn_01x05_Pin,1×5 Pin Header 2.54 mm Horizontal
10,"D2,D1",LED_0201_0603Metric,2,Green LED,0201 (0603 Metric)
